NAICS,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Electro-Chemical Processes,Facility HVAC,Facility Lighting,Machine Drive,Onsite Transportation,Other Facility Support,Other Nonprocess Use,Other Process Use,Process Cooling and Refrigeration,Process Heating,Total,,,,,,
332313,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
33232,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332321,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332322,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332323,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3324,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3324,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332410,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332420,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
33243,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332431,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332439,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3325,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332510,0.8,0,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
3326,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
33261,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332611,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332612,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332613,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332618,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3327,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3327,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332710,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
33272,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332721,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332722,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0,0.5,1,,,,,,
3328,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3328,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
33281,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332811,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332812,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332813,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3329,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3329,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
33291,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
332911,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
332912,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
