NAICS,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Electro-Chemical Processes,Facility HVAC,Facility Lighting,Machine Drive,Onsite Transportation,Other Facility Support,Other Nonprocess Use,Other Process Use,Process Cooling and Refrigeration,Process Heating,Total,,,,,,
3112,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
3111,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3111,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
316,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
315,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
314,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
313,0,0.4,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
312,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
311,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
31,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
