VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
453310,Used Merchandise Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4539,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4539,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453910,Pet and Pet Supplies Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453920,Art Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453930,Manufactured (Mobile) Home Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
45399,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453991,Tobacco Stores,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4541,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4541,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454110,Electronic Shopping and Mail-Order Houses,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454111,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454112,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454113,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4542,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454210,Vending Machine Operators,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
4543,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454310,FALSE,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454311,Heating Oil Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454312,Liquefied Petroleum Gas (Bottled Gas) Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454319,Other Fuel Dealers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
454390,Other Direct Selling Establishments,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
