tract_geoid_2019,<60,60,61 - 89,90,91 - 149,150,>150
06013350000,17,70,0,68,0,20,4
06013351101,0,1,0,0,0,0,0
06013351200,0,1,0,1,0,0,0
06013352102,0,3,0,0,0,0,0
06013352201,0,26,0,17,0,1,0
06013352202,0,2,0,1,0,2,0
06013353001,2,1,0,0,0,0,0
06013353002,1,1,0,0,0,0,0
06013354001,0,1,0,0,0,0,0
06013354002,0,0,0,1,0,0,1
06013355108,0,0,0,57,0,8,0
06013355109,0,0,0,2,0,0,0
06013355111,0,0,0,1,0,0,0
06013355113,0,0,0,10,0,1,0
06013355114,0,0,0,5,0,1,0
06013355115,0,0,0,3,0,2,0
06013355116,0,0,0,0,0,2,0
06013355200,0,0,0,13,0,2,0
06013355301,0,0,0,21,0,1,0
06013355302,0,1,0,0,0,0,0
06013355304,0,1,0,56,0,21,0
06013355306,0,3,0,6,0,1,0
06013356001,0,0,0,0,0,1,0
06013357000,17,173,0,5,0,15,2
06013358000,17,59,0,23,0,11,0
06013359102,0,28,0,19,0,3,0
06013359103,0,40,0,26,0,0,0
06013359104,0,0,0,30,0,3,0
06013359105,0,0,0,28,0,5,0
06013359202,0,1,0,1,0,0,0
06013359203,0,0,0,3,0,1,0
06013359204,0,0,0,3,0,0,0
06013360101,2,5,0,3,0,1,0
06013360102,1,1,0,0,0,0,0
06013360200,3,21,0,11,0,0,0
06013361000,2,13,0,17,0,5,0
06013362000,3,11,0,12,0,5,3
06013363000,6,32,0,23,0,4,0
06013364002,0,0,0,1,0,1,0
06013365002,20,69,0,29,0,8,0
06013365003,0,0,0,23,0,4,0
06013366001,0,41,0,15,0,0,0
06013366002,6,67,0,25,0,1,0
06013367100,0,19,0,9,0,0,0
06013367200,0,12,0,7,0,1,0
06013368001,15,66,0,31,0,0,0
06013368002,9,51,0,17,0,0,0
06013369001,6,62,0,25,0,0,0
06013369002,3,39,0,24,0,0,0
06013370000,11,32,0,13,0,0,1
06013371000,29,94,0,27,0,1,0
06013372000,27,66,0,20,0,1,0
06013373000,14,45,0,17,0,0,0
06013374000,30,70,0,36,0,3,0
06013375000,20,101,0,52,0,4,0
06013376000,13,122,0,33,0,2,0
06013377000,26,123,0,45,0,8,0
06013378000,10,119,0,24,0,3,0
06013379000,20,130,0,38,0,1,0
06013380000,8,44,0,23,0,0,0
06013381000,25,118,0,37,0,3,0
06013382000,28,131,0,47,0,5,0
06013383000,27,97,0,41,0,4,0
06013384000,4,12,0,17,0,1,0
06013385100,1,5,0,7,0,0,0
06013385200,1,6,0,8,0,0,0
06013386000,8,59,0,42,0,2,0
06013387000,3,32,0,20,0,1,0
06013388000,18,68,0,46,0,1,1
06013389100,8,61,0,28,0,0,0
06013389200,16,95,0,34,0,1,0
06013390100,2,3,0,4,0,0,0
06013390200,1,4,0,1,0,0,0
06013391000,5,19,0,2,0,7,0
06013392000,2,10,0,2,0,4,0
06013392200,0,1,0,2,0,1,0
06013392300,0,0,0,1,0,0,0
06015000101,4,39,0,63,0,17,0
06015000102,3,5,0,8,0,0,0
06015000105,1,2,0,3,0,0,0
06015000201,0,2,0,4,0,0,0
06015000202,0,8,0,6,0,2,0
06015000203,3,6,0,3,0,0,0
06017030200,5,83,0,71,0,3,0
06017030301,3,86,0,79,0,4,0
06017030302,4,144,0,100,0,4,0
06017030401,0,54,0,42,0,1,0
06017030402,4,60,0,45,0,0,0
06017030504,0,2,0,0,0,0,0
06017030601,0,2,0,3,0,0,0
06017030602,1,3,0,3,0,0,0
06017030603,0,1,0,1,0,0,0
06017030701,0,4,0,4,0,0,0
06017030704,0,1,0,3,0,3,0
06017030706,0,10,0,4,0,1,0
06017030709,0,1,0,2,0,0,0
06017030710,0,0,0,4,0,0,0
06017030801,0,1,0,4,0,1,0
06017030803,0,2,0,23,0,0,0
06017030804,0,1,0,9,0,2,1
06017030807,0,0,0,10,0,1,1
06017030808,0,0,0,7,0,1,0
06017030809,0,6,0,11,0,0,0
06017030810,0,1,0,36,0,1,0
06017030901,0,2,0,0,0,0,0
06017030902,1,1,0,5,0,0,0
06017031000,8,43,0,17,0,1,0
06017031100,7,44,0,36,0,3,0
06017031200,9,64,0,32,0,3,0
06017031301,1,14,0,4,0,0,0
06017031302,10,29,0,31,0,1,0
06017031402,0,0,0,2,0,0,0
06017031502,3,17,0,39,0,3,0
06017031503,1,1,0,2,0,0,0
06017031504,0,16,0,11,0,0,0
06017031600,14,209,0,134,0,7,0
06017032000,6,15,0,8,0,1,0
06019000100,0,0,0,0,0,0,0
06019000200,1,18,0,12,0,4,0
06019000300,1,9,0,3,0,1,0
06019000400,2,12,0,10,0,2,0
06019000501,7,16,0,6,0,0,0
06019000502,3,21,0,10,0,2,0
06019000600,13,77,0,32,0,3,0
06019000700,0,1,0,0,0,0,0
06019000800,0,0,0,0,0,0,0
06019000901,0,0,0,0,0,0,0
06019000902,1,13,0,10,0,0,0
06019001000,0,0,0,2,0,0,0
06019001100,0,2,0,2,0,0,0
06019001201,4,6,0,7,0,0,0
06019001202,0,4,0,12,0,1,0
06019001301,0,5,0,6,0,0,0
06019001303,1,9,0,10,0,2,0
06019001304,0,5,0,6,0,1,0
06019001407,0,1,0,15,0,2,0
06019001408,0,0,0,0,0,0,0
06019001409,0,0,0,13,0,3,0
06019001410,0,0,0,0,0,0,0
06019001411,0,5,0,2,0,0,0
06019001414,0,0,0,0,0,0,0
06019001500,0,1,0,0,0,0,0
06019001600,0,1,0,4,0,0,0
06019001700,1,0,0,0,0,1,0
06019001800,0,0,0,1,0,0,0
06019002000,0,2,0,5,0,2,0
06019002100,18,28,0,9,0,1,0
06019002200,15,34,0,6,0,0,0
06019002300,8,32,0,9,0,0,0
06019002400,10,30,0,16,0,1,0
06019002501,1,1,0,3,0,1,0
06019002502,2,45,0,27,0,2,0
06019002601,6,47,0,23,0,2,0
06019002602,0,11,0,1,0,0,0
06019002701,1,1,0,3,0,0,0
06019002702,4,29,0,10,0,2,0
06019002800,3,22,0,30,0,3,0
06019002903,0,0,0,14,0,1,0
06019002904,0,0,0,3,0,1,0
06019002905,0,0,0,0,0,0,0
06019002906,0,10,0,3,0,0,0
06019003001,0,0,0,0,0,0,0
06019003003,0,0,0,6,0,0,0
06019003004,0,0,0,0,0,0,0
06019003102,0,46,0,48,0,14,0
06019003103,0,27,0,8,0,0,0
06019003104,0,0,0,0,0,0,0
06019003201,0,0,0,0,0,0,0
06019003202,1,42,0,7,0,0,0
06019003301,8,48,0,28,0,0,0
06019003302,21,67,0,29,0,0,0
06019003400,25,29,0,6,0,0,0
06019003500,26,53,0,31,0,2,0
06019003600,4,19,0,13,0,0,0
06019003701,4,18,0,6,0,0,0
06019003702,0,29,0,13,0,2,0
06019003804,0,0,0,8,0,0,0
06019003805,0,0,0,27,0,3,0
06019003807,0,0,0,6,0,0,0
06019003808,1,0,0,4,0,0,0
06019003809,0,0,0,0,0,0,0
06019003810,0,0,0,2,0,0,0
06019004001,1,1,0,6,0,0,0
06019004002,0,3,0,7,0,0,0
06019004100,0,0,0,0,0,0,0
06019004205,1,3,0,49,0,8,0
06019004207,0,1,0,34,0,1,0
06019004208,0,0,0,5,0,0,0
06019004210,0,0,0,0,0,0,0
06019004211,0,0,0,1,0,0,0
06019004212,0,0,0,31,0,1,0
06019004213,0,3,0,1,0,0,0
06019004214,0,0,0,2,0,0,0
06019004215,0,0,0,0,0,0,0
06019004216,0,0,0,0,0,0,0
06019004301,0,0,0,0,0,0,0
06019004302,0,0,0,0,0,0,0
06019004303,0,0,0,1,0,0,0
06019004404,4,7,0,2,0,0,0
06019004405,0,0,0,4,0,0,0
06019004406,0,0,0,9,0,2,0
06019004408,0,0,0,7,0,1,0
06019004409,0,2,0,10,0,2,0
06019004503,0,14,0,4,0,0,0
06019004504,0,3,0,8,0,2,0
06019004505,0,2,0,1,0,0,0
06019004506,0,1,0,0,0,0,0
06019004601,0,15,0,2,0,0,0
06019004602,0,3,0,6,0,0,0
06019004701,0,6,0,16,0,0,0
06019004703,0,3,0,4,0,0,0
06019004704,1,8,0,7,0,0,0
06019004801,5,19,0,12,0,0,0
